epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.62511,1.48586,5.43224,1.398,0,0,0,0,1.68219,5.52615,1.38938,0,0,0
2,5.21653,1.50804,5.33376,1.38302,0,0,0,0,1.68814,5.52997,1.39461,1.17611e-06,1.17611e-06,1.17611e-06
3,6.79806,1.31623,5.17068,1.46123,0,0,0,0,1.69326,5.51851,1.39579,2.34442e-06,2.34442e-06,2.34442e-06
4,8.29222,1.59462,5.48883,1.43308,0,0,0,0,1.67868,5.52358,1.39171,3.50495e-06,3.50495e-06,3.50495e-06
5,9.78286,1.56832,5.48128,1.41443,0,0,0,0,1.66472,5.52186,1.38126,4.6577e-06,4.6577e-06,4.6577e-06
6,11.3109,1.21741,5.18384,1.29317,0,0,0,0,1.65961,5.5186,1.37807,5.80265e-06,5.80265e-06,5.80265e-06
7,12.8193,1.63598,5.38808,1.50095,0,0,0,0,1.65341,5.51771,1.37363,6.93982e-06,6.93982e-06,6.93982e-06
8,14.3231,1.35003,5.3199,1.33674,0,0,0,0,1.64678,5.51883,1.3748,8.06919e-06,8.06919e-06,8.06919e-06
9,15.8322,1.5274,5.34662,1.51092,0,0,0,0,1.62758,5.50928,1.36057,9.19078e-06,9.19078e-06,9.19078e-06
10,17.3675,1.56575,5.38473,1.47878,0,0,0,0,1.61797,5.49868,1.35356,1.03046e-05,1.03046e-05,1.03046e-05
11,18.9208,1.31619,5.2497,1.35182,0,0,0,0,1.5934,5.49847,1.33785,1.14106e-05,1.14106e-05,1.14106e-05
12,20.4747,1.47341,5.36388,1.37922,0,0,0,0,1.58677,5.49691,1.33518,1.25088e-05,1.25088e-05,1.25088e-05
13,22.0243,1.25832,5.13676,1.29577,0,0,0,0,1.57515,5.49464,1.32355,1.35993e-05,1.35993e-05,1.35993e-05
14,23.5413,1.43327,5.33702,1.37619,0,0,0,0,1.58043,5.49028,1.31926,1.46819e-05,1.46819e-05,1.46819e-05
15,25.0738,1.37281,5.27477,1.33753,0,0,0,0,1.5773,5.48482,1.31682,1.57568e-05,1.57568e-05,1.57568e-05
16,26.5799,1.44308,5.38761,1.39108,0,0,0,0,1.5702,5.48413,1.31369,1.68238e-05,1.68238e-05,1.68238e-05
17,28.1836,1.24896,5.19575,1.34986,0,0,0,0,1.55718,5.48031,1.3076,1.78831e-05,1.78831e-05,1.78831e-05
18,29.7687,1.30194,5.06642,1.35711,0,0,0,0,1.55718,5.48031,1.3076,1.89346e-05,1.89346e-05,1.89346e-05
19,31.2777,1.33012,5.21765,1.21359,0,0,0,0,1.56014,5.47602,1.3052,1.99783e-05,1.99783e-05,1.99783e-05
20,32.7896,1.49592,5.31958,1.33778,0,0,0,0,1.56014,5.47602,1.3052,2.10143e-05,2.10143e-05,2.10143e-05
21,34.3148,1.38264,5.39222,1.3856,0,0,0,0,1.54182,5.47807,1.3021,2.20424e-05,2.20424e-05,2.20424e-05
22,35.8305,1.15045,5.11086,1.2954,0,0,0,0,1.54182,5.47807,1.3021,2.30627e-05,2.30627e-05,2.30627e-05
23,37.4061,1.32976,5.2356,1.26136,0,0,0,0,1.52117,5.47709,1.29934,2.40753e-05,2.40753e-05,2.40753e-05
24,38.9103,1.25503,5.08264,1.26818,0,0,0,0,1.52117,5.47709,1.29934,2.50801e-05,2.50801e-05,2.50801e-05
25,40.4408,1.28887,5.26153,1.241,0,0,0,0,1.5039,5.47618,1.29593,2.60771e-05,2.60771e-05,2.60771e-05
26,42.0001,1.26437,5.11302,1.26021,0,0,0,0,1.5039,5.47618,1.29593,2.70662e-05,2.70662e-05,2.70662e-05
27,43.6061,1.40343,5.30462,1.32634,0,0,0,0,1.47149,5.46781,1.27153,2.80477e-05,2.80477e-05,2.80477e-05
