epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28834,1.95988,5.79653,1.67194,0,0,0,0,1.89722,5.78583,1.49348,0,0,0
2,5.62441,1.7488,5.5549,1.57871,0,0,0,0,1.89877,5.7851,1.48575,1.16832e-06,1.16832e-06,1.16832e-06
3,6.79464,2.07098,5.63832,1.51965,0,0,0,0,1.89056,5.79737,1.48134,2.31327e-06,2.31327e-06,2.31327e-06
4,7.94567,1.90583,5.66226,1.69387,0,0,0,0,1.88854,5.79726,1.48252,3.43486e-06,3.43486e-06,3.43486e-06
5,9.09156,1.7727,5.63935,1.59622,0,0,0,0,1.88996,5.78663,1.4783,4.53309e-06,4.53309e-06,4.53309e-06
6,10.237,1.86811,5.74686,1.63226,0,0,0,0,1.89058,5.77303,1.47645,5.60795e-06,5.60795e-06,5.60795e-06
7,11.4182,1.78907,5.58848,1.57814,0,0,0,0,1.88544,5.76587,1.47176,6.65945e-06,6.65945e-06,6.65945e-06
8,12.5899,1.77563,5.70446,1.51241,0,0,0,0,1.86561,5.76701,1.47108,7.68758e-06,7.68758e-06,7.68758e-06
9,13.775,1.93884,5.6153,1.62865,0,0,0,0,1.88053,5.73687,1.45829,8.69235e-06,8.69235e-06,8.69235e-06
10,14.9611,1.72935,5.58531,1.51078,0,0,0,0,1.86596,5.71706,1.44395,9.67376e-06,9.67376e-06,9.67376e-06
11,16.1204,1.56667,5.56367,1.48327,0,0,0,0,1.83972,5.70947,1.42847,1.06318e-05,1.06318e-05,1.06318e-05
12,17.2555,1.64462,5.56065,1.47167,0,0,0,0,1.76749,5.70551,1.38856,1.15665e-05,1.15665e-05,1.15665e-05
13,18.4238,1.76305,5.45506,1.5132,0,0,0,0,1.73996,5.69045,1.37696,1.24778e-05,1.24778e-05,1.24778e-05
14,19.6052,1.59037,5.39316,1.5197,0,0,0,0,1.71005,5.6824,1.35063,1.33657e-05,1.33657e-05,1.33657e-05
15,20.7723,1.36731,5.53167,1.47437,0,0,0,0,1.69545,5.68033,1.33629,1.42303e-05,1.42303e-05,1.42303e-05
16,21.9615,1.60187,5.47572,1.53739,0,0,0,0,1.68444,5.67614,1.33448,1.50715e-05,1.50715e-05,1.50715e-05
17,23.1583,1.64052,5.58049,1.48693,0,0,0,0,1.68055,5.66506,1.33765,1.58894e-05,1.58894e-05,1.58894e-05
18,24.3319,1.58048,5.44029,1.46916,0,0,0,0,1.68055,5.66506,1.33765,1.66839e-05,1.66839e-05,1.66839e-05
