epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,6.27402,0.88169,3.48668,1.05822,0.06015,0.09524,0.08007,0.04446,1.74414,4.13553,1.36625,4.20285e-05,4.20285e-05,4.20285e-05
40,6.4062,0.99807,3.56951,1.02606,0.06015,0.09524,0.08007,0.04446,1.74414,4.13553,1.36625,4.30586e-05,4.30586e-05,4.30586e-05
41,6.54993,1.01973,3.44545,1.01753,0.05861,0.09524,0.07819,0.0439,1.77883,4.13871,1.39363,4.40848e-05,4.40848e-05,4.40848e-05
42,6.68658,0.99535,3.44071,1.04801,0.05861,0.09524,0.07819,0.0439,1.77883,4.13871,1.39363,4.51071e-05,4.51071e-05,4.51071e-05
43,6.83247,0.91822,3.26859,1.03424,0.05782,0.10119,0.07888,0.04323,1.77288,4.13374,1.39592,4.61255e-05,4.61255e-05,4.61255e-05
44,6.97118,0.90502,3.51592,1.04417,0.05782,0.10119,0.07888,0.04323,1.77288,4.13374,1.39592,4.714e-05,4.714e-05,4.714e-05
45,7.11818,1.08957,3.58608,1.06974,0.05519,0.10119,0.0775,0.0433,1.75489,4.11629,1.38993,4.81506e-05,4.81506e-05,4.81506e-05
46,7.24811,1.006,3.37952,1.05336,0.05519,0.10119,0.0775,0.0433,1.75489,4.11629,1.38993,4.91573e-05,4.91573e-05,4.91573e-05
47,7.39833,1.02096,3.34153,0.9978,0.05397,0.10119,0.07764,0.04346,1.75283,4.11136,1.38811,5.01601e-05,5.01601e-05,5.01601e-05
48,7.53405,1.1242,3.38663,1.02836,0.05397,0.10119,0.07764,0.04346,1.75283,4.11136,1.38811,5.11591e-05,5.11591e-05,5.11591e-05
49,7.76635,1.00909,3.3315,1.04231,0.0506,0.10119,0.07633,0.04279,1.76299,4.08568,1.39782,5.21541e-05,5.21541e-05,5.21541e-05
50,7.90012,0.94218,3.09031,1.0311,0.0506,0.10119,0.07633,0.04279,1.76299,4.08568,1.39782,5.31453e-05,5.31453e-05,5.31453e-05
51,8.04172,0.88077,3.13713,1.01006,0.0506,0.10119,0.07445,0.04419,1.77954,4.06641,1.41267,5.41325e-05,5.41325e-05,5.41325e-05
52,8.17443,1.13428,3.24672,1.09728,0.0506,0.10119,0.07445,0.04419,1.77954,4.06641,1.41267,5.51159e-05,5.51159e-05,5.51159e-05
53,8.31038,0.97163,3.00615,1.039,0.0506,0.10119,0.07445,0.04419,1.77954,4.06641,1.41267,5.60953e-05,5.60953e-05,5.60953e-05
54,8.45397,1.00436,3.19064,1.03649,0.04956,0.10119,0.07445,0.04534,1.75759,4.06325,1.40271,5.70709e-05,5.70709e-05,5.70709e-05
55,8.58816,0.80628,2.89194,1.00494,0.04956,0.10119,0.07445,0.04534,1.75759,4.06325,1.40271,5.80425e-05,5.80425e-05,5.80425e-05
56,8.72396,0.9359,3.27275,1.06943,0.04956,0.10119,0.07445,0.04534,1.75759,4.06325,1.40271,5.90103e-05,5.90103e-05,5.90103e-05
57,8.86647,0.98975,2.94576,1.0257,0.04945,0.10714,0.07517,0.0453,1.74752,4.01938,1.40269,5.99742e-05,5.99742e-05,5.99742e-05
58,9.00335,1.05889,3.00049,1.05602,0.04945,0.10714,0.07517,0.0453,1.74752,4.01938,1.40269,6.09342e-05,6.09342e-05,6.09342e-05
59,9.23089,0.8952,2.91986,1.00876,0.04945,0.10714,0.07517,0.0453,1.74752,4.01938,1.40269,6.18903e-05,6.18903e-05,6.18903e-05
60,9.3739,1.06117,3.11313,1.03641,0.04675,0.10714,0.07527,0.04536,1.72885,3.98497,1.3967,6.28425e-05,6.28425e-05,6.28425e-05
61,9.50924,0.99638,2.78752,0.9768,0.04675,0.10714,0.07527,0.04536,1.72885,3.98497,1.3967,6.37908e-05,6.37908e-05,6.37908e-05
62,9.64699,1.01723,2.96004,0.98517,0.04675,0.10714,0.07527,0.04536,1.72885,3.98497,1.3967,6.47352e-05,6.47352e-05,6.47352e-05
63,9.79209,0.97184,3.16729,1.02777,0.04416,0.10119,0.07134,0.04541,1.72265,3.94772,1.3934,6.56757e-05,6.56757e-05,6.56757e-05
64,9.92654,0.89399,2.85014,1.01477,0.04416,0.10119,0.07134,0.04541,1.72265,3.94772,1.3934,6.66124e-05,6.66124e-05,6.66124e-05
65,10.0591,1.02077,3.00582,1.08226,0.04416,0.10119,0.07134,0.04541,1.72265,3.94772,1.3934,6.75451e-05,6.75451e-05,6.75451e-05
66,10.2058,1.03524,3.15289,1.01976,0.04497,0.10119,0.07153,0.04566,1.71582,3.92854,1.39879,6.84739e-05,6.84739e-05,6.84739e-05
67,10.3386,0.90348,2.87934,1.00755,0.04497,0.10119,0.07153,0.04566,1.71582,3.92854,1.39879,6.93989e-05,6.93989e-05,6.93989e-05
68,10.4772,1.04178,2.84757,1.00791,0.04497,0.10119,0.07153,0.04566,1.71582,3.92854,1.39879,7.03199e-05,7.03199e-05,7.03199e-05
69,10.7113,1.01434,2.95439,1.02702,0.04416,0.10119,0.07649,0.04891,1.73709,3.91321,1.41913,7.12371e-05,7.12371e-05,7.12371e-05
70,10.8484,0.89397,2.91958,1.03762,0.04416,0.10119,0.07649,0.04891,1.73709,3.91321,1.41913,7.21503e-05,7.21503e-05,7.21503e-05
71,10.9874,0.90264,2.90136,1.08048,0.04416,0.10119,0.07649,0.04891,1.73709,3.91321,1.41913,7.30597e-05,7.30597e-05,7.30597e-05
72,11.1307,0.95386,2.83819,1.04188,0.04337,0.10119,0.07792,0.05018,1.74915,3.87634,1.43429,7.39652e-05,7.39652e-05,7.39652e-05
73,11.2621,1.03562,2.53304,1.16732,0.04337,0.10119,0.07792,0.05018,1.74915,3.87634,1.43429,7.48668e-05,7.48668e-05,7.48668e-05
74,11.3992,0.89155,2.7791,1.04116,0.04337,0.10119,0.07792,0.05018,1.74915,3.87634,1.43429,7.57644e-05,7.57644e-05,7.57644e-05
75,11.5463,0.95996,2.7144,1.06686,0.04048,0.10119,0.07935,0.05053,1.77327,3.84632,1.46433,7.66582e-05,7.66582e-05,7.66582e-05
76,11.69,1.0823,2.51484,1.06513,0.04048,0.10119,0.07935,0.05053,1.77327,3.84632,1.46433,7.75481e-05,7.75481e-05,7.75481e-05
77,11.8293,1.02336,2.41279,1.07519,0.04048,0.10119,0.07935,0.05053,1.77327,3.84632,1.46433,7.84341e-05,7.84341e-05,7.84341e-05
78,11.9863,0.9112,2.44561,0.9942,0.04187,0.10119,0.07931,0.04856,1.79198,3.82508,1.4836,7.93162e-05,7.93162e-05,7.93162e-05
79,12.2087,0.91765,2.53006,1.00427,0.04187,0.10119,0.07931,0.04856,1.79198,3.82508,1.4836,8.01945e-05,8.01945e-05,8.01945e-05
80,12.3419,1.05357,2.76784,1.08058,0.04187,0.10119,0.07931,0.04856,1.79198,3.82508,1.4836,8.10688e-05,8.10688e-05,8.10688e-05
81,12.4912,0.90997,2.38246,1.04072,0.04187,0.10119,0.08032,0.04758,1.79403,3.82381,1.48664,8.19392e-05,8.19392e-05,8.19392e-05
82,12.6231,1.00027,2.66448,1.03342,0.04187,0.10119,0.08032,0.04758,1.79403,3.82381,1.48664,8.28057e-05,8.28057e-05,8.28057e-05
83,12.7651,1.04717,2.31046,1.05079,0.04187,0.10119,0.08032,0.04758,1.79403,3.82381,1.48664,8.36684e-05,8.36684e-05,8.36684e-05
84,12.9102,0.96326,2.50998,0.9524,0.04048,0.10119,0.08022,0.04591,1.77747,3.81574,1.47535,8.45271e-05,8.45271e-05,8.45271e-05
85,13.0457,0.85295,2.33237,1.00066,0.04048,0.10119,0.08022,0.04591,1.77747,3.81574,1.47535,8.5382e-05,8.5382e-05,8.5382e-05
86,13.1786,0.90053,2.08937,0.99923,0.04048,0.10119,0.08022,0.04591,1.77747,3.81574,1.47535,8.62329e-05,8.62329e-05,8.62329e-05
87,13.3156,0.90788,2.33753,1.0606,0.04048,0.10119,0.08022,0.04591,1.77747,3.81574,1.47535,8.708e-05,8.708e-05,8.708e-05
88,13.464,0.92027,2.09028,1.02125,0.20969,0.08929,0.07709,0.04424,1.78229,3.78964,1.49649,8.79232e-05,8.79232e-05,8.79232e-05
89,13.5985,1.00451,1.98846,0.99597,0.20969,0.08929,0.07709,0.04424,1.78229,3.78964,1.49649,8.87624e-05,8.87624e-05,8.87624e-05
90,13.828,1.06047,2.28351,1.04032,0.20969,0.08929,0.07709,0.04424,1.78229,3.78964,1.49649,8.95978e-05,8.95978e-05,8.95978e-05
91,13.9643,0.89422,2.42907,1.04094,0.20969,0.08929,0.07709,0.04424,1.78229,3.78964,1.49649,9.04293e-05,9.04293e-05,9.04293e-05
92,14.1095,0.95226,2.45291,1.09949,0.50935,0.04167,0.07183,0.04299,1.78407,3.76015,1.50834,9.12569e-05,9.12569e-05,9.12569e-05
93,14.2441,0.96615,2.21005,1.01293,0.50935,0.04167,0.07183,0.04299,1.78407,3.76015,1.50834,9.20806e-05,9.20806e-05,9.20806e-05
