epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60418,1.87787,5.69565,1.54144,0,0,0,0,1.89133,5.40473,1.48856,0,0,0
2,4.71515,1.81252,5.77964,1.49586,0,0,0,0,1.90287,5.40523,1.49343,1.16832e-06,1.16832e-06,1.16832e-06
3,4.84165,1.88935,5.59389,1.6661,0,0,0,0,1.90971,5.41459,1.49585,2.31327e-06,2.31327e-06,2.31327e-06
4,4.97506,1.80945,5.73318,1.46059,0,0,0,0,1.91735,5.4271,1.5059,3.43486e-06,3.43486e-06,3.43486e-06
5,5.12572,1.81994,5.66546,1.57398,0,0,0,0,1.89957,5.41872,1.49053,4.53309e-06,4.53309e-06,4.53309e-06
6,5.28061,1.66624,5.64837,1.40578,0,0,0,0,1.90148,5.41965,1.48725,5.60795e-06,5.60795e-06,5.60795e-06
7,5.41447,1.60066,5.53662,1.62533,0,0,0,0,1.89846,5.41996,1.48907,6.65945e-06,6.65945e-06,6.65945e-06
8,5.55062,1.78696,5.50957,1.67894,0,0,0,0,1.88826,5.41282,1.47426,7.68758e-06,7.68758e-06,7.68758e-06
9,5.68693,1.84892,5.58709,1.54533,0,0,0,0,1.90021,5.40407,1.46689,8.69235e-06,8.69235e-06,8.69235e-06
10,5.8218,1.72046,5.45526,1.43359,0,0,0,0,1.88857,5.39814,1.45194,9.67376e-06,9.67376e-06,9.67376e-06
11,5.95834,1.837,5.76904,1.49134,0,0,0,0,1.85216,5.38148,1.4264,1.06318e-05,1.06318e-05,1.06318e-05
12,6.09697,1.81606,5.55021,1.61656,0,0,0,0,1.82171,5.36673,1.40461,1.15665e-05,1.15665e-05,1.15665e-05
13,6.23262,1.77497,5.67637,1.56012,0,0,0,0,1.80556,5.35424,1.3931,1.24778e-05,1.24778e-05,1.24778e-05
14,6.37637,1.697,5.62454,1.50842,0,0,0,0,1.77641,5.35285,1.38926,1.33657e-05,1.33657e-05,1.33657e-05
15,6.5153,1.67525,5.54154,1.50113,0,0,0,0,1.73682,5.35483,1.37217,1.42303e-05,1.42303e-05,1.42303e-05
16,6.65351,1.69623,5.55169,1.47731,0,0,0,0,1.66956,5.35777,1.34838,1.50715e-05,1.50715e-05,1.50715e-05
17,6.79428,1.77044,5.58864,1.45282,0,0,0,0,1.68693,5.35017,1.34975,1.58894e-05,1.58894e-05,1.58894e-05
18,6.92767,1.6247,5.5668,1.41076,0,0,0,0,1.68693,5.35017,1.34975,1.66839e-05,1.66839e-05,1.66839e-05
19,7.06618,1.74844,5.65545,1.39648,0,0,0,0,1.66475,5.35758,1.33874,1.7455e-05,1.7455e-05,1.7455e-05
