epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46792,1.96374,5.6521,1.69396,0,0,0,0,1.90509,5.78119,1.49165,0,0,0
2,2.85314,1.71878,5.6345,1.5234,0,0,0,0,1.91046,5.78644,1.49334,1.17611e-06,1.17611e-06,1.17611e-06
3,4.08639,1.9972,5.77772,1.74525,0,0,0,0,1.9016,5.79251,1.49085,2.34442e-06,2.34442e-06,2.34442e-06
4,5.30623,1.99588,5.72234,1.57595,0,0,0,0,1.88183,5.79787,1.48331,3.50495e-06,3.50495e-06,3.50495e-06
5,6.51839,1.94908,5.75833,1.59391,0,0,0,0,1.87321,5.79325,1.47696,4.6577e-06,4.6577e-06,4.6577e-06
6,7.64027,1.8317,5.5819,1.60925,0,0,0,0,1.88892,5.77128,1.46886,5.80265e-06,5.80265e-06,5.80265e-06
7,8.89956,1.85356,5.66202,1.52102,0,0,0,0,1.88132,5.76322,1.46329,6.93982e-06,6.93982e-06,6.93982e-06
8,10.1037,1.71198,5.5198,1.64349,0,0,0,0,1.83495,5.75348,1.43511,8.06919e-06,8.06919e-06,8.06919e-06
9,11.3198,1.62578,5.51464,1.40814,0,0,0,0,1.82991,5.72662,1.42546,9.19078e-06,9.19078e-06,9.19078e-06
10,12.5393,1.70301,5.61736,1.52927,0,0,0,0,1.81588,5.71238,1.41513,1.03046e-05,1.03046e-05,1.03046e-05
11,13.7624,1.68666,5.58321,1.4615,0,0,0,0,1.79832,5.69997,1.40083,1.14106e-05,1.14106e-05,1.14106e-05
12,14.9713,1.61714,5.48871,1.47441,0,0,0,0,1.75538,5.69252,1.37944,1.25088e-05,1.25088e-05,1.25088e-05
13,16.2038,1.50678,5.425,1.48106,0,0,0,0,1.7655,5.68253,1.38187,1.35993e-05,1.35993e-05,1.35993e-05
14,17.4394,1.66282,5.58842,1.48494,0,0,0,0,1.72321,5.6815,1.36204,1.46819e-05,1.46819e-05,1.46819e-05
15,18.6543,1.60272,5.52513,1.39382,0,0,0,0,1.69055,5.67799,1.34898,1.57568e-05,1.57568e-05,1.57568e-05
16,19.8241,1.57133,5.49045,1.41562,0,0,0,0,1.68432,5.67737,1.35237,1.68238e-05,1.68238e-05,1.68238e-05
17,21.0653,1.64877,5.60622,1.39149,0,0,0,0,1.69432,5.67564,1.35985,1.78831e-05,1.78831e-05,1.78831e-05
18,22.1842,1.54819,5.48458,1.36231,0,0,0,0,1.69432,5.67564,1.35985,1.89346e-05,1.89346e-05,1.89346e-05
19,23.3887,1.69679,5.62017,1.3922,0,0,0,0,1.68252,5.6593,1.34987,1.99783e-05,1.99783e-05,1.99783e-05
20,24.6454,1.72578,5.59109,1.35727,0,0,0,0,1.68252,5.6593,1.34987,2.10143e-05,2.10143e-05,2.10143e-05
21,25.8063,1.52119,5.48057,1.41121,0,0,0,0,1.66259,5.66253,1.34702,2.20424e-05,2.20424e-05,2.20424e-05
22,27.0368,1.62933,5.34517,1.42069,0,0,0,0,1.66259,5.66253,1.34702,2.30627e-05,2.30627e-05,2.30627e-05
23,28.3587,1.5695,5.44941,1.26694,0,0,0,0,1.61477,5.66041,1.33768,2.40753e-05,2.40753e-05,2.40753e-05
24,29.5783,1.55939,5.44474,1.29916,0,0,0,0,1.61477,5.66041,1.33768,2.50801e-05,2.50801e-05,2.50801e-05
25,30.9417,1.77228,5.58048,1.30978,0,0,0,0,1.58669,5.65969,1.32991,2.60771e-05,2.60771e-05,2.60771e-05
26,32.1661,1.36519,5.33774,1.19763,0,0,0,0,1.58669,5.65969,1.32991,2.70662e-05,2.70662e-05,2.70662e-05
27,33.2429,1.51798,5.43316,1.26515,0,0,0,0,1.57583,5.64754,1.3164,2.80477e-05,2.80477e-05,2.80477e-05
28,34.5014,1.35186,5.27232,1.26044,0,0,0,0,1.57583,5.64754,1.3164,2.90213e-05,2.90213e-05,2.90213e-05
29,35.7216,1.55889,5.435,1.28285,0,0,0,0,1.5658,5.63476,1.30371,2.99871e-05,2.99871e-05,2.99871e-05
30,37.0135,1.5059,5.25519,1.28122,0,0,0,0,1.5658,5.63476,1.30371,3.09451e-05,3.09451e-05,3.09451e-05
31,38.223,1.42371,5.29184,1.27818,0,0,0,0,1.51092,5.6248,1.27138,3.18954e-05,3.18954e-05,3.18954e-05
32,39.4672,1.43438,5.12671,1.17787,0,0,0,0,1.51092,5.6248,1.27138,3.28379e-05,3.28379e-05,3.28379e-05
33,40.701,1.38338,5.16339,1.35373,0,0,0,0,1.53683,5.59537,1.26529,3.37725e-05,3.37725e-05,3.37725e-05
34,41.9056,1.43671,5.21377,1.21988,0,0,0,0,1.53683,5.59537,1.26529,3.46994e-05,3.46994e-05,3.46994e-05
35,43.1536,1.49295,5.30406,1.18755,0,0,0,0,1.52988,5.59812,1.25743,3.56185e-05,3.56185e-05,3.56185e-05
36,44.3668,1.40127,5.1906,1.23208,0,0,0,0,1.52988,5.59812,1.25743,3.65298e-05,3.65298e-05,3.65298e-05
37,45.6086,1.47712,5.27034,1.25491,0,0,0,0,1.54688,5.58359,1.25789,3.74334e-05,3.74334e-05,3.74334e-05
38,46.8026,1.4522,5.22892,1.16886,0,0,0,0,1.54688,5.58359,1.25789,3.83291e-05,3.83291e-05,3.83291e-05
39,48.054,1.39131,5.10509,1.13528,0,0,0,0,1.57245,5.56748,1.26442,3.92171e-05,3.92171e-05,3.92171e-05
40,49.2376,1.46662,5.11516,1.19088,0,0,0,0,1.57245,5.56748,1.26442,4.00972e-05,4.00972e-05,4.00972e-05
41,50.5799,1.414,5.14471,1.11053,0,0,0,0,1.58091,5.54315,1.25038,4.09696e-05,4.09696e-05,4.09696e-05
42,51.8035,1.39735,5.12743,1.09177,0,0,0,0,1.58091,5.54315,1.25038,4.18342e-05,4.18342e-05,4.18342e-05
43,53.059,1.43284,5.16287,1.1985,0,0,0,0,1.5886,5.54027,1.25625,4.2691e-05,4.2691e-05,4.2691e-05
44,54.2944,1.31704,5.08132,1.11404,0,0,0,0,1.5886,5.54027,1.25625,4.354e-05,4.354e-05,4.354e-05
45,55.5535,1.39429,5.07449,1.1716,0,0,0,0,1.5906,5.54326,1.25641,4.43812e-05,4.43812e-05,4.43812e-05
46,56.6806,1.32588,4.976,1.18711,0,0,0,0,1.5906,5.54326,1.25641,4.52146e-05,4.52146e-05,4.52146e-05
47,57.8969,1.54547,5.109,1.12255,0,0,0,0,1.59401,5.53527,1.25211,4.60403e-05,4.60403e-05,4.60403e-05
48,59.034,1.30687,4.96195,1.10982,0,0,0,0,1.59401,5.53527,1.25211,4.68582e-05,4.68582e-05,4.68582e-05
49,60.3099,1.35279,4.94385,1.1046,0,0,0,0,1.61343,5.51255,1.25164,4.76682e-05,4.76682e-05,4.76682e-05
50,61.958,1.11884,4.80209,1.04277,0,0,0,0,1.61343,5.51255,1.25164,4.84705e-05,4.84705e-05,4.84705e-05
51,63.3676,1.30468,4.95559,1.09382,0,0,0,0,1.61987,5.49313,1.24585,4.9265e-05,4.9265e-05,4.9265e-05
52,64.6093,1.22304,4.70349,1.06352,0,0,0,0,1.61987,5.49313,1.24585,5.00517e-05,5.00517e-05,5.00517e-05
53,65.7923,1.41076,5.0364,1.11781,0,0,0,0,1.61987,5.49313,1.24585,5.08306e-05,5.08306e-05,5.08306e-05
54,67.0107,1.21069,4.8128,1.10637,0,0,0,0,1.6235,5.47307,1.23679,5.16018e-05,5.16018e-05,5.16018e-05
55,68.1547,1.26001,4.86201,1.1034,0,0,0,0,1.6235,5.47307,1.23679,5.23651e-05,5.23651e-05,5.23651e-05
56,69.495,1.17612,4.77778,1.09842,0,0,0,0,1.6235,5.47307,1.23679,5.31206e-05,5.31206e-05,5.31206e-05
57,70.74,1.24089,4.83721,1.05076,0,0,0,0,1.6123,5.46894,1.23087,5.38684e-05,5.38684e-05,5.38684e-05
58,72.0221,1.30379,4.66502,1.11774,0,0,0,0,1.6123,5.46894,1.23087,5.46084e-05,5.46084e-05,5.46084e-05
59,73.3223,1.16783,4.66389,1.06651,0,0,0,0,1.6123,5.46894,1.23087,5.53406e-05,5.53406e-05,5.53406e-05
60,74.6383,1.28648,4.59845,1.0762,0,0,0,0,1.60361,5.4425,1.22313,5.6065e-05,5.6065e-05,5.6065e-05
61,75.9796,1.2736,4.6329,1.06977,0,0,0,0,1.60361,5.4425,1.22313,5.67816e-05,5.67816e-05,5.67816e-05
62,77.2527,1.27362,4.74781,1.02565,0,0,0,0,1.60361,5.4425,1.22313,5.74904e-05,5.74904e-05,5.74904e-05
63,78.5079,1.18366,4.70199,1.06894,0,0,0,0,1.61829,5.39495,1.21762,5.81915e-05,5.81915e-05,5.81915e-05
64,79.7548,1.18752,4.51413,1.03538,0,0,0,0,1.61829,5.39495,1.21762,5.88847e-05,5.88847e-05,5.88847e-05
65,81.0254,1.1495,4.61955,1.05155,0,0,0,0,1.61829,5.39495,1.21762,5.95702e-05,5.95702e-05,5.95702e-05
66,82.2584,1.20163,4.55823,1.05448,0,0,0,0,1.62158,5.3429,1.20504,6.02478e-05,6.02478e-05,6.02478e-05
67,83.5502,1.20053,4.63596,1.06088,0,0,0,0,1.62158,5.3429,1.20504,6.09177e-05,6.09177e-05,6.09177e-05
68,84.8731,1.18132,4.45696,1.01514,0,0,0,0,1.62158,5.3429,1.20504,6.15798e-05,6.15798e-05,6.15798e-05
69,86.1589,1.18163,4.57959,0.99809,0,0,0,0,1.61742,5.3006,1.19777,6.22341e-05,6.22341e-05,6.22341e-05
70,87.5114,1.1688,4.58567,1.03411,0,0,0,0,1.61742,5.3006,1.19777,6.28807e-05,6.28807e-05,6.28807e-05
