epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03019,1.52522,5.20371,1.40981,0,0,0,0,1.65915,5.13691,1.37534,0,0,0
2,4.14545,1.66856,5.37269,1.50811,0,0,0,0,1.66113,5.139,1.37591,1.17805e-06,1.17805e-06,1.17805e-06
3,4.28315,1.25092,5.18543,1.3861,0,0,0,0,1.65881,5.1402,1.37437,2.35221e-06,2.35221e-06,2.35221e-06
4,4.404,1.73889,5.49558,1.47649,0,0,0,0,1.66494,5.14457,1.38017,3.52248e-06,3.52248e-06,3.52248e-06
5,4.61979,1.58554,5.36691,1.43115,0,0,0,0,1.66624,5.14558,1.38106,4.68885e-06,4.68885e-06,4.68885e-06
6,4.72367,1.54346,5.34852,1.47686,0,0,0,0,1.66728,5.14543,1.38216,5.85132e-06,5.85132e-06,5.85132e-06
7,4.82972,1.44177,5.09723,1.50651,0,0,0,0,1.66773,5.14727,1.38223,7.00991e-06,7.00991e-06,7.00991e-06
8,4.93888,1.54849,5.29626,1.55561,0,0,0,0,1.67045,5.14836,1.38493,8.1646e-06,8.1646e-06,8.1646e-06
9,5.05347,1.62118,5.38771,1.37596,0,0,0,0,1.66774,5.15018,1.38436,9.31539e-06,9.31539e-06,9.31539e-06
10,5.16743,1.54583,5.23983,1.47875,0,0,0,0,1.66819,5.15055,1.38526,1.04623e-05,1.04623e-05,1.04623e-05
11,5.27878,1.62238,5.37729,1.38931,0,0,0,0,1.66923,5.15941,1.38647,1.16053e-05,1.16053e-05,1.16053e-05
12,5.38312,1.39283,5.15447,1.31554,0,0,0,0,1.6612,5.15917,1.3852,1.27444e-05,1.27444e-05,1.27444e-05
13,5.49714,1.32945,5.14415,1.3863,0,0,0,0,1.65853,5.16018,1.38333,1.38796e-05,1.38796e-05,1.38796e-05
14,5.60458,1.58578,5.33446,1.48993,0,0,0,0,1.65548,5.15851,1.38297,1.5011e-05,1.5011e-05,1.5011e-05
15,5.71198,1.61537,5.28976,1.39158,0,0,0,0,1.65576,5.15867,1.38025,1.61384e-05,1.61384e-05,1.61384e-05
16,5.81959,1.39522,5.20366,1.45686,0,0,0,0,1.65485,5.15805,1.37935,1.72619e-05,1.72619e-05,1.72619e-05
17,6.00661,1.36282,5.20571,1.30134,0,0,0,0,1.6549,5.16279,1.3825,1.83816e-05,1.83816e-05,1.83816e-05
18,6.10818,1.69597,5.4134,1.48853,0,0,0,0,1.6549,5.16279,1.3825,1.94973e-05,1.94973e-05,1.94973e-05
19,6.22559,1.58794,5.41711,1.36509,0,0,0,0,1.65321,5.16795,1.38313,2.06092e-05,2.06092e-05,2.06092e-05
20,6.32393,1.29774,5.17793,1.32327,0,0,0,0,1.65321,5.16795,1.38313,2.17171e-05,2.17171e-05,2.17171e-05
21,6.43145,1.45393,5.29433,1.41112,0,0,0,0,1.65459,5.16893,1.38414,2.28212e-05,2.28212e-05,2.28212e-05
22,6.53176,1.50465,5.33986,1.38372,0,0,0,0,1.65459,5.16893,1.38414,2.39214e-05,2.39214e-05,2.39214e-05
23,6.63912,1.4825,5.22529,1.34402,0,0,0,0,1.65646,5.16754,1.38526,2.50177e-05,2.50177e-05,2.50177e-05
24,6.74258,1.81908,5.55495,1.52154,0,0,0,0,1.65646,5.16754,1.38526,2.611e-05,2.611e-05,2.611e-05
